lead_id,company_size,industry,location,annual_revenue_lkr,engagement_score,contact_level,demo_requested,model_probability,lead_score,priority,pipeline_stage,converted,action_recommendation
LEAD_0020,Small,Finance,Kurunegala,7105872,85,C-Level,Yes,84.45622144864248,77.74,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0021,Small,Tourism,Colombo,18047991,100,Manager,No,33.58858315253577,50.79,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0022,Medium,Healthcare,Kurunegala,74637841,68,Manager,No,73.67917709454392,63.26,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0023,Large,Retail,Matara,852739510,100,C-Level,Yes,96.30511258793013,92.96,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0024,Large,Manufacturing,Negombo,534828581,100,Manager,Yes,97.97501347892906,84.48,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0025,Medium,Healthcare,Jaffna,78415447,100,Manager,No,68.8909114006398,69.09,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0026,Small,IT/Software,Jaffna,22172625,43,Employee,No,17.96980378226859,27.17,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0027,Medium,Healthcare,Jaffna,135876064,85,C-Level,No,77.1647338164427,75.14,MEDIUM,Qualified,0,Follow up within 3-5 business days
LEAD_0028,Large,Retail,Kandy,688655868,99,Manager,Yes,91.9226256169769,87.05,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0029,Medium,Education,Jaffna,25019192,64,C-Level,Yes,79.23090148847682,72.05,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0030,Small,Manufacturing,Galle,5063196,42,C-Level,No,49.62356078825135,47.19,LOW,New,0,Nurture campaign - email sequence
LEAD_0031,Large,Education,Matara,769040209,100,C-Level,Yes,98.1203716918187,92.56,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0032,Small,IT/Software,Colombo,9849513,100,Employee,Yes,76.2573440084627,67.89,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0033,Small,Finance,Anuradhapura,9765308,100,Manager,Yes,79.60696140115992,72.59,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0034,Large,Retail,Colombo,905805333,100,Manager,No,68.59195595881903,74.04,MEDIUM,Qualified,0,Follow up within 3-5 business days
LEAD_0035,Medium,Education,Galle,126584208,87,C-Level,Yes,94.36159445818748,81.37,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0036,Large,Healthcare,Kurunegala,672865366,30,Manager,No,80.14787391956443,58.46,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0037,Large,Tourism,Galle,272048025,63,Employee,Yes,80.49483834752826,62.84,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0038,Small,Agriculture,Anuradhapura,23081561,99,C-Level,No,68.91728871570781,72.05,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0039,Medium,Healthcare,Kandy,69018714,100,C-Level,Yes,96.67634457631856,88.01,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0040,Medium,Retail,Kandy,86377658,100,Manager,Yes,90.50654815277622,82.47,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0041,Large,IT/Software,Kurunegala,286253118,100,Manager,Yes,94.93661643095771,88.66,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0042,Small,Healthcare,Galle,8641688,79,Manager,No,49.02529901488263,52.17,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0043,Large,Finance,Colombo,644685578,100,C-Level,Yes,92.21126646979916,91.45,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0044,Medium,Education,Colombo,98979868,100,Manager,Yes,81.82838314632477,76.74,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0045,Medium,IT/Software,Kandy,118081360,100,Manager,Yes,93.05834825519382,83.78,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0046,Large,Finance,Jaffna,695972779,68,Manager,No,87.4080153762816,70.85,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0047,Small,Finance,Colombo,5704925,100,Employee,Yes,72.5256560049714,68.56,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0048,Large,Tourism,Negombo,988747329,100,Manager,No,89.79754893105269,84.26,HIGH,Converted,1,PRIORITY: Initiate contact within 24 hours
LEAD_0049,Large,Finance,Colombo,151116544,54,Manager,No,62.25297848309689,61.37,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0050,Large,Finance,Galle,602945277,74,C-Level,No,86.50269439259372,80.42,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0051,Large,Agriculture,Kurunegala,406589957,100,Manager,Yes,97.70447067232932,85.61,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0052,Medium,Healthcare,Jaffna,107400635,92,Manager,No,73.50942486282409,69.39,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0053,Small,Manufacturing,Colombo,23404307,85,Employee,Yes,57.36498560776769,56.59,LOW,Demo/Trial,0,Nurture campaign - email sequence
LEAD_0054,Small,Retail,Jaffna,19180028,100,Manager,Yes,66.76264744832194,67.79,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0055,Medium,Agriculture,Galle,114848800,100,C-Level,Yes,96.7384242998598,87.47,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0056,Medium,Manufacturing,Kurunegala,133102628,39,Manager,No,56.36389670499626,47.17,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0057,Small,Healthcare,Galle,2309902,92,Manager,No,50.60446493684038,58.42,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0058,Large,Retail,Kandy,970256571,100,Manager,Yes,93.7467644126974,86.61,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0059,Large,Healthcare,Matara,411024964,100,C-Level,No,89.30428927290856,86.34,HIGH,Converted,1,HIGH VALUE: Schedule executive meeting
LEAD_0060,Small,Education,Anuradhapura,7145118,90,Manager,No,42.00501199192024,52.97,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0061,Small,Manufacturing,Matara,3815326,47,C-Level,No,55.30664113711136,53.22,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0062,Large,Healthcare,Jaffna,632189465,100,Manager,Yes,96.78576885829663,84.03,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0063,Small,Agriculture,Colombo,18022752,82,Manager,Yes,59.29934974940312,59.96,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0064,Large,Agriculture,Galle,744267911,100,C-Level,Yes,96.17738591938692,93.17,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0065,Small,Tourism,Anuradhapura,6874347,55,Employee,Yes,31.594349076784173,35.07,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0066,Small,Manufacturing,Anuradhapura,23432455,80,C-Level,No,59.96813540350016,63.66,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0067,Small,Education,Kandy,7029701,100,Manager,Yes,75.85418299568093,72.84,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0068,Medium,IT/Software,Kandy,79315602,100,C-Level,Yes,93.92395174477976,86.71,HIGH,Demo/Trial,0,URGENT: Follow up on demo request immediately
LEAD_0069,Large,Tourism,Colombo,500833767,94,Employee,No,84.0658149538947,73.54,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0070,Small,Agriculture,Kandy,10733995,100,C-Level,Yes,83.9870935142466,78.92,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0071,Medium,IT/Software,Galle,103812943,62,Manager,Yes,63.00088792858377,58.11,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0072,Large,Retail,Anuradhapura,800043546,38,Manager,Yes,64.81546474859263,52.43,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0073,Medium,Tourism,Negombo,139535540,75,Employee,No,61.90299079959433,58.61,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0074,Medium,Education,Kandy,62367679,100,Employee,Yes,90.04377235169984,75.51,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0075,Medium,Retail,Kandy,145336196,87,Manager,No,65.92207232122246,64.17,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0076,Small,IT/Software,Matara,6972893,97,Manager,No,61.15920503782766,62.44,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0077,Medium,Retail,Kurunegala,65480218,100,C-Level,No,82.3126893171785,79.1,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0078,Medium,Tourism,Jaffna,127271023,52,C-Level,No,65.34184798939565,59.43,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0079,Medium,Finance,Galle,64705788,96,C-Level,No,83.50084520698195,81.56,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0080,Large,Education,Anuradhapura,670464990,89,Employee,Yes,90.5340111650194,78.37,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0081,Small,Finance,Negombo,8510078,100,Employee,No,60.228799105698094,60.56,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0082,Medium,Retail,Colombo,56551023,87,Manager,No,59.325018554681485,64.16,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0083,Large,Manufacturing,Negombo,415339541,79,Manager,No,83.58216856024512,75.79,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0084,Small,Agriculture,Kurunegala,17910513,68,C-Level,No,58.53637348997026,60.47,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0085,Medium,Finance,Matara,133764608,49,C-Level,No,75.74249882243627,65.56,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0086,Small,Tourism,Kurunegala,4209201,54,C-Level,No,57.16312335706063,54.16,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0087,Medium,Retail,Jaffna,36106355,100,C-Level,No,77.65388057584839,77.42,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0088,Large,Agriculture,Negombo,158041576,79,Employee,No,88.1987917397977,71.03,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0089,Medium,Education,Galle,70238647,89,C-Level,No,82.32545968496076,76.55,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0090,Medium,Tourism,Kurunegala,105248703,100,Manager,Yes,92.7442609840864,82.73,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0091,Medium,Tourism,Anuradhapura,146825763,34,Employee,No,39.10556022272,34.58,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0092,Medium,Tourism,Anuradhapura,59140419,59,C-Level,Yes,73.96795960559113,67.35,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0093,Large,Agriculture,Jaffna,976284039,100,Manager,Yes,92.28703328730626,85.8,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0094,Small,Finance,Colombo,18176044,59,Employee,No,27.316066217874564,35.78,LOW,Engaged,0,Nurture campaign - email sequence
LEAD_0095,Medium,Education,Kandy,69557200,55,Employee,No,52.24240621994646,49.43,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0096,Large,Tourism,Galle,996813833,90,Manager,Yes,90.79569723128378,84.14,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0097,Large,Finance,Matara,635978170,95,C-Level,No,93.64370692497818,87.46,HIGH,Converted,1,HIGH VALUE: Schedule executive meeting
LEAD_0098,Large,Agriculture,Negombo,152754733,52,C-Level,No,86.30368708690426,74.75,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0099,Medium,Retail,Colombo,116285615,86,Employee,No,60.47550461031721,60.53,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0100,Large,Education,Galle,345658228,100,Manager,Yes,91.54918514855017,84.38,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0101,Large,Finance,Jaffna,559073058,92,C-Level,Yes,97.64632871302196,90.1,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0102,Large,Manufacturing,Negombo,329664502,86,Employee,Yes,94.51143287368856,76.84,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0103,Large,Tourism,Colombo,707394580,46,Employee,No,43.22508345617128,47.28,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0104,Small,Agriculture,Colombo,9385799,93,Manager,Yes,77.50445426000793,71.8,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0105,Small,Manufacturing,Jaffna,22450377,84,C-Level,Yes,86.44423088525063,76.5,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0106,Medium,Education,Negombo,70174927,38,Employee,No,52.904764657149336,42.8,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0107,Small,Finance,Galle,22951635,30,Manager,No,22.38171726180726,28.45,LOW,New,0,Nurture campaign - email sequence
LEAD_0108,Medium,Finance,Kandy,25910425,59,C-Level,No,80.25795870245,68.87,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0109,Medium,Agriculture,Negombo,95184434,36,C-Level,No,76.64935208988925,61.97,LOW,New,0,Nurture campaign - email sequence
LEAD_0110,Small,Manufacturing,Negombo,18674898,100,Manager,No,45.17549926039797,57.77,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0111,Medium,Healthcare,Matara,101206190,89,C-Level,No,88.76593708327091,79.51,MEDIUM,Qualified,0,Follow up within 3-5 business days
LEAD_0112,Large,IT/Software,Negombo,683088893,100,C-Level,Yes,98.76235708088475,90.41,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0113,Large,Education,Kandy,813258163,96,C-Level,Yes,97.18709579222724,91.56,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0114,Large,Education,Matara,842100258,53,Employee,No,80.39518736971287,63.76,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0115,Small,IT/Software,Kurunegala,5051248,100,Manager,Yes,67.96658214763659,69.04,LOW,Demo/Trial,0,Nurture campaign - email sequence
LEAD_0116,Medium,Tourism,Negombo,90813495,86,Manager,No,78.35046394112972,69.15,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0117,Large,Healthcare,Anuradhapura,152149964,100,C-Level,Yes,97.48498038904532,89.16,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0118,Large,Healthcare,Galle,683460505,95,Manager,No,90.51491414799231,81.08,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0119,Medium,IT/Software,Negombo,45076784,94,Manager,No,75.20794466596847,73.27,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0120,Medium,Agriculture,Galle,89333033,52,Employee,No,48.37777279254888,43.7,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0121,Medium,Agriculture,Colombo,65969721,98,C-Level,Yes,95.72256981498528,86.13,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0122,Small,Finance,Negombo,13302021,32,Manager,No,38.251382190997326,35.55,LOW,New,0,Nurture campaign - email sequence
LEAD_0123,Medium,Tourism,Anuradhapura,52650759,34,Employee,No,37.046937446263215,34.6,LOW,New,0,Nurture campaign - email sequence
LEAD_0124,Large,Tourism,Matara,745049735,65,Employee,No,58.07111013675102,59.17,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0125,Large,Education,Kurunegala,996308537,100,C-Level,No,95.04033926717008,86.69,HIGH,Converted,1,HIGH VALUE: Schedule executive meeting
LEAD_0126,Large,Healthcare,Negombo,271260003,100,C-Level,No,93.58928128410204,89.9,HIGH,Converted,1,HIGH VALUE: Schedule executive meeting
LEAD_0127,Medium,IT/Software,Anuradhapura,31250738,80,C-Level,No,69.31145997591506,70.85,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0128,Small,Tourism,Colombo,13176063,92,Employee,No,46.76737065551333,51.98,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0129,Large,Education,Matara,578584822,55,C-Level,No,91.91400589231064,75.96,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0130,Small,Manufacturing,Kurunegala,18468777,77,C-Level,No,58.98744389118714,62.2,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0131,Large,Healthcare,Matara,403336417,53,Employee,No,77.5728695018289,59.95,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0132,Medium,IT/Software,Kurunegala,142197799,100,Employee,Yes,88.53077297629332,75.24,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0133,Medium,Healthcare,Anuradhapura,54700885,100,Employee,No,56.09105197048287,58.96,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0134,Small,Manufacturing,Anuradhapura,24686119,46,Employee,No,16.135677653480997,26.05,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0135,Medium,Retail,Negombo,34649848,50,Manager,No,51.77811863609195,49.93,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0136,Small,Tourism,Negombo,9321147,63,Employee,Yes,49.03299732679879,45.55,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0137,Small,IT/Software,Anuradhapura,14863076,48,C-Level,No,39.65970440530969,44.39,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0138,Medium,IT/Software,Anuradhapura,91247563,95,Manager,Yes,91.39461784031646,79.05,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0139,Large,Manufacturing,Kurunegala,795914775,100,C-Level,Yes,95.50636935258134,93.19,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0140,Medium,Agriculture,Matara,127966516,100,Manager,Yes,92.90206002909864,83.21,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0141,Medium,Manufacturing,Negombo,52830412,65,Employee,Yes,64.52215368835319,57.15,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0142,Small,Tourism,Matara,8127406,100,C-Level,No,59.20531801006198,66.58,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0143,Small,Agriculture,Negombo,16801642,100,C-Level,Yes,95.11696163465916,85.65,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0144,Large,Retail,Colombo,544807238,88,Manager,No,67.46401199868612,71.83,MEDIUM,Qualified,0,Follow up within 3-5 business days
LEAD_0145,Large,Finance,Galle,936289235,75,Employee,No,72.69153523475542,67.05,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0146,Small,Retail,Kurunegala,20043786,89,Employee,Yes,78.16323247849792,67.05,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0147,Large,Finance,Anuradhapura,848607743,62,Employee,No,82.91749629138816,64.42,LOW,Engaged,0,Nurture campaign - email sequence
LEAD_0148,Small,Healthcare,Jaffna,2766651,79,Manager,No,44.6387835830926,50.79,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0149,Medium,Tourism,Matara,107886723,42,Manager,No,53.93301914715478,46.77,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0150,Medium,Healthcare,Kurunegala,85873716,76,Employee,No,68.20583081420686,58.47,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0151,Small,Tourism,Jaffna,18119658,72,Employee,No,28.93044786602125,39.25,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0152,Small,Finance,Matara,5147519,81,Employee,No,46.773397306386,49.57,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0153,Small,Manufacturing,Jaffna,4825336,94,Employee,No,38.187531757287616,49.94,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0154,Small,Healthcare,Galle,10076953,92,C-Level,Yes,90.36650446495452,80.73,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0155,Medium,Manufacturing,Matara,99425217,41,Employee,No,49.03488487997152,40.91,LOW,New,0,Nurture campaign - email sequence
LEAD_0156,Small,Finance,Kurunegala,3453387,25,C-Level,No,49.07273155492649,43.07,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0157,Small,Manufacturing,Matara,13471225,84,Manager,No,57.682653948043416,57.77,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0158,Small,Retail,Galle,18930228,73,C-Level,No,62.01392319170335,61.78,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0159,Medium,Healthcare,Kurunegala,66026656,89,Manager,No,78.9656309439626,72.31,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0160,Small,Tourism,Kandy,8579974,83,C-Level,No,61.28149454168208,63.38,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0161,Large,Healthcare,Anuradhapura,769418173,100,C-Level,Yes,98.1810498134644,89.82,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0162,Small,Retail,Anuradhapura,8861131,97,C-Level,No,58.12088371902252,67.27,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0163,Small,Retail,Kurunegala,2911050,59,Manager,Yes,52.19610601067123,49.01,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0164,Large,Agriculture,Negombo,730980439,88,Employee,No,83.23109965755123,75.38,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0165,Small,Education,Kandy,18310888,78,Manager,No,47.04755330789093,50.65,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0166,Small,IT/Software,Colombo,7541873,80,C-Level,No,62.6672361370495,63.69,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0167,Small,IT/Software,Matara,12703643,100,C-Level,No,71.28306507202392,72.44,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0168,Medium,Manufacturing,Kandy,74794644,83,C-Level,No,84.12979511750231,75.85,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0169,Medium,Retail,Anuradhapura,77948775,79,C-Level,No,76.53188109174395,72.97,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0170,Medium,Retail,Galle,110882825,100,Manager,Yes,85.43242929907137,80.42,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0171,Large,Finance,Anuradhapura,886042366,71,C-Level,No,82.14534167759358,77.87,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0172,Small,Agriculture,Anuradhapura,9557658,57,Manager,No,43.79069234173844,43.72,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0173,Small,Tourism,Anuradhapura,4555777,34,Manager,No,18.76225266892798,26.5,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0174,Large,Finance,Colombo,302904441,92,Manager,Yes,94.1940562791856,81.75,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0175,Large,Tourism,Negombo,238017034,100,C-Level,Yes,96.48771718812334,91.42,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0176,Large,Retail,Kurunegala,782773152,100,Employee,Yes,96.98957431254026,82.78,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0177,Large,Finance,Kandy,879298563,57,C-Level,No,93.41987709535726,76.51,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0178,Large,Manufacturing,Anuradhapura,600638824,48,C-Level,No,78.45135405601808,67.12,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0179,Small,Agriculture,Negombo,15300485,34,Employee,No,26.26311570528031,27.96,LOW,New,0,Nurture campaign - email sequence
LEAD_0180,Large,Manufacturing,Jaffna,302580328,100,Manager,Yes,95.09644736364598,83.32,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0181,Medium,Manufacturing,Galle,99002693,9,Employee,No,26.420916725940348,22.99,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0182,Large,Finance,Galle,888315474,100,C-Level,Yes,89.97970338121235,90.88,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0183,Large,Education,Kandy,610396218,45,C-Level,No,69.704236377402,67.32,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0184,Medium,Agriculture,Colombo,70376666,18,Employee,No,27.51211383440473,26.93,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0185,Small,Education,Colombo,16835670,86,C-Level,No,60.457354151433066,63.27,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0186,Small,IT/Software,Negombo,17710795,83,Manager,Yes,72.66879088663927,67.19,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0187,Large,Retail,Matara,453205678,87,Manager,No,67.9865092728441,72.92,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0188,Small,Agriculture,Jaffna,3403027,97,Employee,Yes,78.89010006992162,69.92,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0189,Medium,Agriculture,Anuradhapura,147057828,94,Manager,Yes,92.4947187162129,78.37,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0190,Large,Healthcare,Negombo,506550480,91,Manager,Yes,96.58461418016049,82.78,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0191,Small,IT/Software,Kandy,23336454,78,C-Level,No,57.13942629906455,61.94,LOW,Converted,1,Nurture campaign - email sequence
